Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.970253,0.122379,0.689689,0.20408099999999998,0.159865,0.06204199999999999,0.25,0.556578,0.6944100000000001,0.00025699999999999996,0.122379
Yes,0.223595,0.456467,0.696308,0.005415,0.048428,0.014405000000000001,0.5,0.197208,0.001141,1e-06,0.456467
No,0.916466,0.127841,0.697203,0.413828,0.14233099999999999,0.456089,0.25,0.32915,0.64693,0.00022799999999999999,0.127841
No,0.532872,0.168295,0.699906,0.187111,0.32192800000000005,0.29064,0.25,0.7404689999999999,0.6791189999999999,0.000741,0.168295
No,0.9791690000000001,0.086504,0.728608,0.259006,0.109405,0.229102,0.25,0.758004,0.9079280000000001,0.00037999999999999997,0.086504
No,0.491338,0.099487,0.7133619999999999,0.286747,0.26109699999999997,0.210025,0.25,0.755542,0.921832,0.000598,0.099487
No,0.073627,0.056097,0.735251,0.178754,0.348141,0.357365,0.25,0.681606,0.831548,7.5e-05,0.056097
No,0.729059,0.11767000000000001,0.6719350000000001,0.185943,0.22593000000000002,0.409012,0.25,0.705013,0.734502,0.000285,0.11767000000000001
No,0.49539399999999995,0.13351,0.656483,0.134824,0.16733699999999999,0.007247,0.25,0.556578,0.754596,0.000482,0.13351
No,0.777826,0.121956,0.730739,0.158052,0.043174000000000004,0.066862,0.25,0.588734,0.6980430000000001,0.000259,0.121956
No,0.074184,0.088841,0.7061029999999999,0.329728,0.081096,0.154272,0.25,0.591026,0.71445,0.00010800000000000001,0.088841
No,0.340057,0.173146,0.692771,0.233582,0.173989,0.146784,0.25,0.767332,0.7039890000000001,0.0009480000000000001,0.173146
No,0.626083,0.089574,0.6908810000000001,0.4341,0.472183,0.11332,0.25,0.6775800000000001,0.708192,0.00010700000000000001,0.089574
No,0.7344689999999999,0.177337,0.687025,0.082258,0.087018,0.021975,0.25,0.556578,0.623979,0.000687,0.177337
Yes,0.356576,0.362774,0.696086,0.004618,0.014874,0.035969,0.5,0.022593000000000002,0.003048,0.0,0.362774
No,0.381152,0.125144,0.7016640000000001,0.3557,0.355078,0.20717600000000003,0.25,0.7227060000000001,0.598645,0.000161,0.125144
No,0.9334469999999999,0.07850800000000001,0.6835859999999999,0.24334299999999998,0.11836600000000001,0.22050999999999998,0.25,0.758004,0.957094,0.000454,0.07850800000000001
No,0.520829,0.12744,0.7026819999999999,0.129107,0.048684,0.037349,0.25,0.578771,0.760931,0.000429,0.12744
No,0.679249,0.130358,0.692613,0.190529,0.150095,0.093055,0.25,0.567869,0.6248819999999999,0.000215,0.130358
No,0.11183299999999999,0.131502,0.694303,0.38745,0.438637,0.263709,0.25,0.742487,0.61485,0.00021,0.131502
No,0.806014,0.051216,0.718489,0.171489,0.017988,0.37914899999999996,0.25,0.406641,0.611675,0.0,0.051216
Yes,0.9725729999999999,0.30745500000000003,0.697234,0.018709,0.020569999999999998,0.025534,0.5,0.7797310000000001,0.010418,2e-06,0.30745500000000003
No,0.506169,0.110148,0.6959489999999999,0.245741,0.2537,0.198463,0.25,0.767332,0.8489260000000001,0.000472,0.110148
Yes,0.6749229999999999,0.40211399999999997,0.696114,0.012968,0.017362,0.0,0.25,0.405853,0.007631000000000001,9e-06,0.40211399999999997
No,0.384471,0.094386,0.688973,0.206831,0.324525,0.42279799999999995,0.25,0.705013,0.7760560000000001,0.00019099999999999998,0.094386
Yes,0.088495,0.37259699999999996,0.69623,0.004953,0.051579999999999994,0.015722999999999997,0.75,0.287108,0.0030629999999999998,1e-06,0.37259699999999996
Yes,0.403779,0.336615,0.696102,0.005961999999999999,0.064193,0.006884,0.5,0.287108,0.0109,4e-06,0.336615
Yes,0.715659,0.476358,0.69631,0.004919,0.021036000000000003,0.056691,0.5,0.282775,0.000672,0.0,0.476358
No,0.403877,0.156076,0.683558,0.305554,0.248229,0.183646,0.25,0.767332,0.8233459999999999,0.00124,0.156076
No,0.621364,0.076396,0.697183,0.046397,0.081487,0.016977000000000003,0.25,0.7799659999999999,0.815924,0.000143,0.076396
No,0.8377700000000001,0.149042,0.704944,0.233721,0.20046,0.48515600000000003,0.25,0.31750300000000004,0.662579,0.000426,0.149042
No,0.25865900000000003,0.199147,0.703348,0.11506199999999998,0.015332,0.014713,1.0,0.7724840000000001,0.669718,0.0014470000000000002,0.199147
No,0.195509,0.139236,0.6871970000000001,0.38101,0.17228800000000002,0.22324899999999998,0.25,0.404855,0.660502,0.00033,0.139236
Yes,0.693004,0.372469,0.696047,0.005085,0.001663,0.017894999999999998,0.5,0.498526,0.006144,3e-06,0.372469
No,0.81652,0.195323,0.6877300000000001,0.206826,0.209783,0.481579,0.25,0.31750300000000004,0.618476,0.001016,0.195323
No,0.923299,0.169185,0.69545,0.180592,0.063325,0.034718,0.25,0.771208,0.646046,0.0006360000000000001,0.169185
No,0.9654290000000001,0.181116,0.6834520000000001,0.33772800000000003,0.142292,0.373354,0.25,0.372431,0.70938,0.001175,0.181116
No,0.258756,0.130397,0.700042,0.414724,0.41876800000000003,0.248545,0.25,0.7404689999999999,0.73637,0.000401,0.130397
No,0.838608,0.186528,0.690829,0.284963,0.128386,0.132269,0.25,0.45924,0.607527,0.0007830000000000001,0.186528
Yes,0.9456959999999999,0.272424,0.697034,0.009977,0.020837,0.01245,0.0,0.334523,0.005672,0.0,0.272424
Yes,0.401643,0.376644,0.696213,0.006958,0.07319099999999999,0.008161,0.75,0.035776999999999996,0.00224,0.0,0.376644
Yes,0.871344,0.489993,0.696314,0.004924,0.023163,0.078167,0.5,0.21662800000000001,0.00031600000000000004,0.0,0.489993
No,0.62367,0.15423699999999999,0.69544,0.23938800000000002,0.038394,0.387732,0.25,0.406641,0.575612,0.000304,0.15423699999999999
No,0.237033,0.161678,0.7039340000000001,0.128667,0.030933999999999996,0.021052,0.25,0.5575760000000001,0.65536,0.000558,0.161678
No,0.040358,0.10033099999999999,0.654726,0.25543000000000005,0.09996000000000001,0.044023,0.25,0.7797310000000001,0.869669,0.00041900000000000005,0.10032999999999999
No,0.347405,0.114156,0.691662,0.332951,0.05744,0.069851,0.25,0.602897,0.6945479999999999,0.000206,0.114156
No,0.184279,0.15115399999999998,0.685774,0.370758,0.166973,0.22215900000000002,0.25,0.404855,0.6025560000000001,0.000325,0.15115399999999998
No,0.078974,0.09233200000000001,0.722561,0.196253,0.25146599999999997,0.131331,0.25,0.7710140000000001,0.684463,0.0001,0.09233200000000001
No,0.359948,0.123134,0.6920649999999999,0.365203,0.325546,0.279402,0.25,0.755542,0.746834,0.000354,0.123134
Yes,0.740799,0.37506300000000004,0.696404,0.005721,0.012988999999999999,0.035539,0.5,0.070426,0.00232,0.0,0.37506300000000004
No,0.383497,0.116726,0.726038,0.330995,0.222781,0.175701,0.25,0.767332,0.8447479999999999,0.000544,0.116726
